,City
0,busselton
1,atuona
2,mataura
3,arraial do cabo
4,ribeira grande
5,hobart
6,korla
7,kapaa
8,barawe
9,sao felix do xingu
10,bluff
11,port blair
12,georgetown
13,prieta
14,punta arenas
15,puerto ayora
16,mahebourg
17,victoria
18,ushuaia
19,dingle
20,rosarito
21,shingu
22,dikson
23,teguldet
24,nalut
25,fare
26,paranagua
27,katsuura
28,berdigestyakh
29,laguna
30,rikitea
31,nikolskoye
32,vaini
33,almenara
34,labutta
35,shelburne
36,abu samrah
37,tsihombe
38,hilo
39,liyang
40,bredasdorp
41,pumiao
42,kodiak
43,hermanus
44,alofi
45,tarko-sale
46,port alfred
47,cape town
48,xudat
49,taolanaro
50,thompson
51,jamestown
52,tumut
53,yeppoon
54,new norfolk
55,sendafa
56,letlhakane
57,khuzdar
58,sladkovo
59,ahuimanu
60,yellowknife
61,port lincoln
62,chagda
63,lockport
64,pacific grove
65,doha
66,khatanga
67,guerrero negro
68,cherat
69,nuevo progreso
70,mar del plata
71,cape coast
72,illoqqortoormiut
73,san juan de los morros
74,nuuk
75,tigil
76,miri
77,qaqortoq
78,cabo san lucas
79,englewood
80,palpa
81,fortuna
82,kuche
83,chokurdakh
84,tuatapere
85,ararangua
86,spring valley
87,zhanatas
88,albany
89,rapid valley
90,amderma
91,nizhneyansk
92,acapulco
93,victor harbor
94,mareeba
95,utiroa
96,eirunepe
97,hithadhoo
98,whitehorse
99,honiara
100,saskylakh
101,saravan
102,bambous virieux
103,nanortalik
104,pangnirtung
105,kholodnyy
106,toliary
107,qaanaaq
108,meulaboh
109,kismayo
110,bandar-e lengeh
111,umzimvubu
112,horodnytsya
113,bocas del toro
114,padang
115,belmonte
116,weilheim
117,geraldton
118,acolla
119,bengkulu
120,blackwater
121,chuy
122,najran
123,castro
124,bilibino
125,maceio
126,mrirt
127,darnah
128,rocha
129,isangel
130,san pedro
131,manchester
132,togul
133,kozhva
134,kantilo
135,esperance
136,euclid
137,provideniya
138,avarua
139,umm lajj
140,sao filipe
141,flin flon
142,airai
143,upernavik
144,tezu
145,port elizabeth
146,hualmay
147,kant
148,barrow
149,tasiilaq
150,orebro
151,rawson
152,noumea
153,chingola
154,tiksi
155,sovetskiy
156,phan rang
157,muros
158,estrela
159,saldanha
160,east london
161,roros
162,severo-kurilsk
163,sumenep
164,pevek
165,kattivakkam
166,lucenec
167,ciras
168,ouidah
169,saint george
170,egvekinot
171,lebu
172,merauke
173,moroto
174,harper
175,prince rupert
176,bagdarin
177,adrar
178,cherskiy
179,kyle of lochalsh
180,los llanos de aridane
181,port hedland
182,agadez
183,talas
184,semirom
185,baykit
186,ravar
187,nome
188,padampur
189,ust-nera
190,burnie
191,codrington
192,gat
193,mubi
194,lagoa
195,camapua
196,barmer
197,pontes e lacerda
198,svetlyy
199,bandarbeyla
200,luwuk
201,hobyo
202,muli
203,papara
204,swan river
205,chernyshevskiy
206,beringovskiy
207,petropavlovsk-kamchatskiy
208,leh
209,bethel
210,bay roberts
211,aklavik
212,invermere
213,nurota
214,tabivere
215,saint-georges
216,freeport
217,harboore
218,bowen
219,grand baie
220,margate
221,toyooka
222,hesla
223,altamont
224,saleaula
225,lavrentiya
226,suntar
227,kangaatsiaq
228,mehamn
229,campo maior
230,poum
231,crab hill
