,Unnamed: 0,Unnamed: 0.1,City,Lat,Temp,Humidity,Cloudiness,Wind Speed,Max Temp
177,177,177,kavieng,-2.57,83.56,75.0,92,10.25,83.64
178,178,178,saldanha,41.42,68.08,77.0,2,4.76,64.2
179,179,179,zacualpan,21.25,84.54,78.0,5,2.24,82.0
180,180,180,mar del plata,-46.43,32.98,91.0,98,12.86,30.72
181,181,181,yar-sale,66.83,68.44,38.0,0,12.5,82.56
182,182,182,suntar,62.16,54.76,48.0,100,9.13,55.56
183,183,183,westport,41.14,75.65,100.0,1,2.59,75.99
184,184,184,puerto del rosario,28.5,71.6,68.0,75,17.22,71.6
185,185,185,pascagoula,30.37,81.52,94.0,1,2.28,81.0
186,186,186,norman wells,65.28,60.8,82.0,75,5.82,55.4
187,187,187,aginskoye,51.11,72.4,27.0,33,6.53,84.36
188,188,188,sarangani,5.4,79.96,77.0,62,8.08,80.94
189,189,189,spornoye,50.84,59.0,47.0,0,11.18,75.2
190,190,190,shache,38.42,79.42,14.0,0,10.94,95.16
191,191,191,provideniya,64.42,48.2,93.0,90,8.95,46.4
192,192,192,bulgan,48.81,61.6,57.0,72,9.75,72.48
193,193,193,osorio,11.39,82.84,69.0,19,5.57,84.36
194,194,194,kenai,60.55,69.33,82.0,1,8.05,64.4
195,195,195,tuatapere,-46.13,54.0,80.0,47,5.01,46.0
196,196,196,coquimbo,-29.95,48.2,93.0,0,5.82,46.0
197,197,197,olga,34.11,76.77,82.0,1,3.91,68.0
198,198,198,circleville,39.6,76.98,94.0,90,4.7,73.4
199,199,199,stilfontein,-26.84,28.12,50.0,0,2.17,35.76
200,200,200,lar,27.66,80.6,22.0,0,6.11,100.4
201,201,201,hambantota,6.12,78.8,79.0,75,11.41,87.8
202,202,202,koungheul,13.98,86.26,68.0,100,13.69,81.3
203,203,203,kangavar,34.5,57.2,38.0,0,9.17,75.2
204,204,204,playas,-2.64,70.78,85.0,70,7.58,70.32
205,205,205,ous,60.91,60.34,42.0,40,13.94,76.98
206,206,206,komsomolets,52.77,56.02,70.0,0,12.28,68.34
208,208,208,moskovskiy,55.6,56.48,55.0,75,13.42,68.0
209,209,209,qazvin,36.28,57.2,47.0,0,4.7,75.2
210,210,210,dzhebariki-khaya,62.22,62.32,35.0,97,4.85,66.36
211,211,211,cayenne,4.94,75.2,100.0,90,3.58,73.4
212,212,212,tual,-5.67,77.62,80.0,71,18.97,78.42
213,213,213,chicopee,42.15,71.89,93.0,90,3.09,69.01
214,214,214,chino valley,34.76,87.08,37.0,1,6.93,69.01
215,215,215,pavlovka,52.69,56.56,58.0,0,9.1,69.24
217,217,217,pevek,69.7,35.32,99.0,89,14.34,34.5
218,218,218,abu samrah,35.3,68.26,34.0,0,10.65,80.94
219,219,219,itoigawa,37.02,79.0,74.0,100,9.35,73.74
220,220,220,vostok,46.45,68.62,84.0,78,4.18,69.6
222,222,222,bud,62.91,41.97,87.0,75,14.99,44.6
223,223,223,nangomba,-10.9,64.48,66.0,8,5.03,72.84
224,224,224,turukhansk,65.8,71.68,46.0,0,9.28,82.92
225,225,225,kinango,-4.13,67.36,68.0,17,12.15,76.08
226,226,226,bari sadri,24.42,78.8,62.0,40,9.82,89.6
227,227,227,bazpur,29.15,88.6,36.0,61,6.44,99.66
228,228,228,nobeoka,32.66,69.01,93.0,100,4.32,70.0
230,230,230,nesna,66.2,42.01,81.0,75,17.22,50.0
231,231,231,ust-nera,64.57,48.28,69.0,100,7.67,53.04
232,232,232,opuwo,-18.06,51.52,34.0,0,8.43,47.28
233,233,233,biaora,23.92,81.94,51.0,99,14.65,91.74
234,234,234,sitka,37.17,89.86,93.0,31,3.0,66.99
235,235,235,cabo san lucas,22.89,78.84,69.0,5,4.92,75.2
236,236,236,teacapan,22.54,82.66,67.0,3,7.76,82.38
237,237,237,ouallam,14.32,96.88,43.0,90,8.41,90.48
238,238,238,kaitangata,-46.28,59.0,52.0,12,8.01,51.01
241,241,241,namibe,-15.19,69.7,87.0,0,8.52,68.7
242,242,242,rocha,-34.48,48.1,67.0,0,14.14,42.24
243,243,243,ambon,47.55,60.12,77.0,0,13.87,66.0
244,244,244,sikonge,-5.63,62.68,57.0,0,9.04,70.14
245,245,245,tateyama,36.66,81.91,65.0,90,9.17,81.0
246,246,246,whitehorse,60.72,68.16,77.0,90,2.24,62.6
247,247,247,nikolskoye,59.7,56.5,68.0,75,8.95,66.0
248,248,248,mantua,45.16,72.77,69.0,40,2.24,82.99
249,249,249,marienburg,52.12,48.81,67.0,0,6.93,60.01
250,250,250,katangli,51.71,50.8,83.0,95,13.82,50.16
251,251,251,kovur,14.5,83.2,41.0,100,18.5,93.9
252,252,252,anadyr,64.73,59.49,72.0,40,8.95,60.8
253,253,253,marrakesh,31.63,66.2,72.0,0,3.36,62.6
254,254,254,faya,18.39,70.74,16.0,0,4.63,86.0
255,255,255,vanavara,60.35,69.34,37.0,37,10.13,78.24
257,257,257,luderitz,-26.65,57.2,71.0,0,3.36,51.8
258,258,258,fort nelson,58.81,64.4,62.0,75,4.7,59.0
260,260,260,bilma,18.69,91.66,29.0,0,6.38,89.94
261,261,261,saint george,39.45,71.65,33.0,0,1.68,86.0
262,262,262,batagay-alyta,67.8,35.68,88.0,100,8.39,37.2
264,264,264,khasan,42.43,70.06,66.0,15,8.81,74.46
265,265,265,aksha,50.28,72.22,28.0,33,2.82,82.38
266,266,266,ahipara,-35.17,62.5,88.0,94,14.61,62.4
267,267,267,pedasi,7.53,76.36,91.0,71,1.77,73.74
268,268,268,acacoyagua,15.34,84.2,88.0,75,4.7,80.6
269,269,269,hofn,64.25,36.22,67.0,64,3.87,39.72
270,270,270,nishihara,35.74,81.54,61.0,40,4.7,84.0
271,271,271,saint-claude,46.39,65.01,64.0,75,6.93,71.6
272,272,272,bakonycsernye,47.32,62.58,64.0,20,9.17,69.8
273,273,273,robertsport,6.75,77.44,89.0,89,6.13,76.8
274,274,274,ko samui,9.54,84.2,66.0,20,8.05,87.8
275,275,275,inhambane,-23.87,57.64,88.0,20,2.57,66.2
276,276,276,hinton,53.4,59.8,90.0,24,1.9,41.88
277,277,277,bembibre,42.62,60.17,72.0,0,2.24,66.99
279,279,279,fortuna,38.18,65.93,60.0,20,1.12,80.01
280,280,280,nantucket,41.28,69.69,93.0,1,8.05,68.0
281,281,281,haines junction,60.75,59.62,91.0,100,3.96,53.76
282,282,282,cherskiy,68.75,50.26,55.0,71,16.93,50.34
284,284,284,delta del tigre,-34.76,52.48,52.0,40,18.34,46.99
285,285,285,los llanos de aridane,28.66,66.43,64.0,75,16.11,71.6
286,286,286,luanda,-8.83,71.6,83.0,75,4.7,71.6
287,287,287,aykhal,65.95,44.6,54.0,0,6.71,55.4
288,288,288,grand bend,43.31,71.24,100.0,1,5.82,71.01
289,289,289,ponta do sol,-20.63,63.04,66.0,28,3.49,59.34
290,290,290,georgetown,6.8,79.86,100.0,75,2.24,75.2
291,291,291,baracoa,20.35,82.84,80.0,37,4.32,80.76
292,292,292,ankang,32.73,72.04,37.0,98,5.32,86.7
293,293,293,lavrentiya,65.58,43.6,96.0,100,5.21,43.86
294,294,294,touros,-5.2,75.2,100.0,75,6.93,73.4
296,296,296,mastic beach,40.77,75.65,88.0,40,2.13,75.99
297,297,297,whitianga,-36.83,66.0,91.0,73,4.0,62.01
298,298,298,vieques,18.43,79.95,78.0,40,7.85,80.6
299,299,299,ihosy,-22.4,55.3,57.0,0,2.26,67.08
300,300,300,la palma,5.36,72.4,98.0,94,1.43,66.9
301,301,301,itamaraca,-7.75,77.95,100.0,75,3.36,73.4
302,302,302,hami,42.84,87.52,12.0,11,14.61,99.3
303,303,303,saint-agapit,46.56,69.94,87.0,5,8.05,62.01
304,304,304,monterey,36.6,67.37,82.0,75,5.82,59.0
305,305,305,kaifeng,34.8,82.4,36.0,0,6.71,93.2
306,306,306,ravar,31.27,72.76,23.0,0,8.23,84.54
308,308,308,male,50.74,59.26,71.0,13,9.42,67.62
309,309,309,agadir,30.42,60.8,87.0,0,3.36,59.0
310,310,310,comodoro rivadavia,-45.87,39.2,80.0,40,8.05,35.6
311,311,311,shitanjing,39.23,81.4,26.0,53,1.99,88.0
312,312,312,nalut,31.86,69.34,84.0,0,13.44,68.16
313,313,313,felanitx,39.47,72.14,44.0,0,5.82,86.0
314,314,314,saint anthony,43.97,77.54,42.0,1,8.05,68.0
315,315,315,filingue,14.35,83.38,47.0,28,10.25,89.04
317,317,317,olinda,-37.84,53.24,76.0,75,10.29,55.99
318,318,318,pangkalanbuun,-2.68,77.08,55.0,92,4.12,90.3
319,319,319,katsuura,33.93,74.39,100.0,75,5.82,75.0
320,320,320,ballina,54.11,48.36,87.0,20,3.36,55.99
321,321,321,kazachinskoye,57.69,71.14,39.0,23,7.54,87.96
322,322,322,lompoc,34.64,69.51,93.0,1,17.78,62.01
323,323,323,baculin,7.45,79.42,85.0,70,5.03,79.32
324,324,324,palmeira,-25.43,66.0,83.0,89,11.99,64.99
325,325,325,cedar city,37.68,81.5,22.0,1,6.93,66.2
326,326,326,batemans bay,-35.71,53.2,67.0,0,2.98,57.99
327,327,327,sao filipe,14.9,73.84,81.0,84,14.85,73.74
328,328,328,shelburne,44.08,71.44,100.0,90,1.83,66.0
329,329,329,oropoli,13.82,75.07,77.0,20,2.24,68.0
330,330,330,marawi,8.0,82.99,85.0,98,7.0,82.0
331,331,331,yulara,-25.24,55.4,17.0,0,9.17,73.4
332,332,332,lithakia,37.72,69.89,78.0,0,5.17,80.6
334,334,334,goya,-29.14,51.16,90.0,0,4.85,46.38
335,335,335,puerto escondido,15.86,84.2,81.0,79,3.87,77.16
336,336,336,hirara,24.8,84.2,79.0,75,17.22,86.0
337,337,337,sivas,39.75,53.83,59.0,0,5.82,64.4
338,338,338,san cristobal,14.68,75.1,94.0,19,3.44,64.92
340,340,340,paamiut,61.99,40.18,86.0,0,17.34,40.26
341,341,341,esperance,-33.86,53.6,49.0,75,11.41,68.0
