,Unnamed: 0,Unnamed: 0.1,City,Lat,Temp,Humidity,Cloudiness,Wind Speed,Max Temp
450,450,450,tabory,53.89,52.95,66.0,0,7.0,63.0
451,451,451,constantine,36.36,68.0,56.0,0,2.24,73.4
452,452,452,khiri mat,16.83,78.04,83.0,75,5.82,84.0
453,453,453,san pedro,-33.68,44.89,72.0,0,3.0,37.99
454,454,454,anito,12.45,85.36,50.0,79,7.36,90.84
455,455,455,guane,22.2,84.28,78.0,32,9.84,83.46
456,456,456,rio grande,-32.03,47.92,83.0,6,8.5,46.92
457,457,457,xining,36.62,53.32,43.0,100,3.69,64.02
458,458,458,wanganui,-39.93,64.99,80.0,100,11.99,60.01
459,459,459,taltal,-25.41,48.46,86.0,8,1.3,47.28
460,460,460,goure,13.98,92.02,52.0,57,14.16,86.16
461,461,461,nicoya,10.15,82.4,83.0,20,4.7,77.0
462,462,462,edgewater,28.99,83.34,88.0,1,4.7,82.0
463,463,463,champerico,16.38,84.2,94.0,96,2.46,69.06
464,464,464,aykino,62.22,56.74,89.0,100,2.01,62.04
465,465,465,yerbogachen,61.28,62.32,29.0,0,10.71,69.42
466,466,466,kananga,-5.9,69.88,44.0,63,2.28,70.14
467,467,467,anzio,41.45,72.37,50.0,0,2.24,84.0
468,468,468,kangaba,11.94,77.62,83.0,68,4.94,74.82
469,469,469,asyut,27.18,78.8,40.0,0,6.93,86.0
470,470,470,potiskum,11.71,80.86,66.0,99,5.46,80.04
472,472,472,paciran,-6.9,74.56,46.0,32,7.9,91.2
473,473,473,laguna,16.17,82.4,83.0,40,2.37,82.4
474,474,474,dhola,27.92,77.0,74.0,75,10.29,82.4
475,475,475,areka,7.07,62.5,97.0,100,2.73,63.48
477,477,477,najran,17.54,80.6,14.0,0,8.05,95.0
478,478,478,leua,-11.65,53.14,62.0,0,6.93,57.2
479,479,479,buckeye,33.37,103.89,20.0,1,13.62,93.2
481,481,481,hasaki,35.73,80.24,83.0,75,6.93,77.0
482,482,482,samana,0.12,71.86,99.0,14,1.81,67.44
483,483,483,bealanana,-14.54,57.82,70.0,54,5.75,67.8
484,484,484,bela,26.23,78.7,41.0,28,7.36,93.0
485,485,485,necochea,-38.55,42.01,72.0,71,15.05,43.32
486,486,486,shakawe,-18.36,44.86,33.0,0,5.99,43.68
487,487,487,presidente epitacio,-21.76,70.6,64.0,0,3.71,65.82
488,488,488,pokaran,26.93,87.7,26.0,0,12.1,104.34
489,489,489,tay ninh,11.3,77.44,80.0,100,10.02,80.94
490,490,490,mazagao,-0.12,77.0,100.0,90,8.05,75.2
492,492,492,launceston,-41.43,48.51,61.0,0,5.82,52.0
493,493,493,dillon,45.22,68.54,93.0,1,4.7,55.0
495,495,495,fandriana,-20.24,50.08,53.0,0,0.58,62.04
496,496,496,ontario,34.07,80.94,64.0,2,5.82,69.8
497,497,497,hun,50.34,54.23,82.0,20,6.93,61.0
499,499,499,yeroham,30.99,64.99,59.0,0,2.46,82.0
500,500,500,meadow lake,54.13,60.8,91.0,49,6.11,45.66
501,501,501,roros,62.57,28.4,65.0,0,9.17,41.0
502,502,502,marzuq,14.4,78.7,18.0,42,2.51,90.12
503,503,503,kaeo,-35.1,64.0,94.0,74,7.0,62.01
504,504,504,seymchan,62.93,69.16,37.0,97,7.23,75.0
506,506,506,naumburg,51.15,52.5,58.0,0,9.17,63.0
507,507,507,wanning,48.64,58.95,45.0,20,9.17,68.0
508,508,508,nova olimpia,-14.8,75.46,56.0,0,3.78,67.8
509,509,509,nyurba,63.29,52.24,46.0,95,9.82,55.2
510,510,510,burnie,-41.05,47.74,58.0,2,3.87,51.01
511,511,511,steinbach,49.53,74.07,67.0,40,8.05,60.01
512,512,512,ambulu,-8.35,75.46,89.0,8,18.88,76.44
513,513,513,praxedis guerrero,31.37,90.39,28.0,90,9.17,84.2
514,514,514,keetmanshoop,-26.57,50.0,49.0,0,13.87,48.2
515,515,515,narrabri,-30.33,65.05,30.0,0,12.75,71.6
517,517,517,alice springs,-23.7,57.2,16.0,0,12.75,66.2
518,518,518,te anau,-45.41,46.84,74.0,71,18.07,44.58
519,519,519,burns lake,54.23,75.64,64.0,51,2.55,55.74
520,520,520,port hawkesbury,45.62,51.31,100.0,90,16.11,50.0
521,521,521,contamana,-7.35,78.88,84.0,0,2.46,71.4
522,522,522,hay river,60.82,57.2,87.0,75,2.24,50.0
523,523,523,akhmeta,42.03,60.8,38.0,0,4.7,77.0
524,524,524,sakaraha,-22.91,63.4,70.0,0,3.24,69.78
525,525,525,lac du bonnet,50.25,73.44,64.0,17,6.69,57.99
526,526,526,misratah,32.38,77.62,69.0,0,8.01,77.34
527,527,527,birkenhead,53.39,50.61,67.0,20,8.05,60.01
528,528,528,lebyazhye,59.96,56.03,68.0,75,8.95,66.0
529,529,529,mahibadhoo,3.78,83.2,69.0,100,8.5,83.64
530,530,530,dwarka,28.58,93.16,53.0,75,8.05,98.01
531,531,531,dickinson,46.88,62.6,100.0,20,3.36,59.0
532,532,532,paita,-5.09,64.66,92.0,0,11.65,63.84
533,533,533,wonthaggi,-38.6,53.51,85.0,72,3.0,55.99
534,534,534,charters towers,-20.07,67.54,35.0,13,9.51,74.64
535,535,535,calbuco,-41.77,42.8,100.0,90,11.41,42.8
536,536,536,nueva italia,-31.39,44.56,86.0,75,5.82,45.0
537,537,537,port macquarie,-31.43,65.91,77.0,90,8.05,66.0
538,538,538,lorengau,-2.02,81.76,78.0,59,6.11,82.02
539,539,539,puri,-7.54,74.92,49.0,2,7.85,89.76
540,540,540,port hardy,50.7,60.8,87.0,75,6.93,57.2
541,541,541,palmer,-34.85,57.38,58.0,40,5.82,62.01
542,542,542,tautira,-17.73,80.26,69.0,75,5.82,77.0
543,543,543,humberto de campos,-2.6,76.9,91.0,25,5.37,75.72
544,544,544,susanville,40.42,75.56,44.0,1,3.36,59.0
546,546,546,la asuncion,-26.05,45.4,83.0,0,1.79,39.54
547,547,547,semporna,4.48,80.6,94.0,75,4.7,75.2
548,548,548,labuhan,-2.54,77.98,39.0,75,2.33,94.62
549,549,549,nizwa,22.93,82.48,11.0,18,2.53,100.56
550,550,550,lodja,-3.52,71.14,67.0,0,2.8,75.54
551,551,551,magadan,59.56,46.3,88.0,36,11.65,46.38
552,552,552,sakaiminato,35.55,76.05,73.0,90,10.29,77.0
553,553,553,mercedes,-33.25,48.99,72.0,0,5.99,42.01
554,554,554,guerrero negro,27.97,69.34,83.0,0,16.04,66.9
555,555,555,balabac,7.99,80.86,78.0,100,12.19,82.2
556,556,556,ketchikan,55.34,64.4,82.0,90,5.82,60.8
557,557,557,pisco,-13.71,61.5,82.0,90,6.93,62.01
558,558,558,kardla,58.44,54.79,93.0,100,18.34,54.0
559,559,559,ostersund,63.18,41.0,70.0,20,14.99,48.0
561,561,561,palencia,42.01,63.12,77.0,0,6.93,66.0
562,562,562,bay roberts,47.58,53.78,100.0,90,8.05,57.99
564,564,564,mao,19.55,79.29,100.0,20,5.82,80.01
565,565,565,sidney,47.72,82.4,77.0,75,3.36,60.8
566,566,566,mackay,53.65,61.72,87.0,1,3.53,44.6
567,567,567,kajaani,64.22,53.6,67.0,90,5.82,59.0
568,568,568,havoysund,71.0,44.6,87.0,75,6.93,46.4
569,569,569,minab,27.15,88.56,67.0,40,11.41,96.8
570,570,570,gavle,60.67,46.0,51.0,99,5.99,55.0
571,571,571,nhulunbuy,-12.18,80.6,54.0,20,13.87,78.8
572,572,572,ikongo,-21.88,53.14,59.0,0,2.33,64.02
573,573,573,klyuchi,52.25,59.62,48.0,96,11.43,73.56
